titulo,fuente,etiqueta
Putin desoye el ultimátum europeo para una tregua y propone una nueva negociación directa con Kiev,El País,positivo
Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,El País,positivo
Un papa contra la polarización que ataca la raíz ideológica de Trump,El País,positivo
"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",El País,negativo
Barcelona - Real Madrid: un clásico para resolver la Liga,El País,positivo
Zara en la era de Marta Ortega,El País,positivo
‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,El País,positivo
"Descifrando a Glenn Close, la actriz que escapó de una secta y se enfrentó a los clichés sexistas de Hollywood",El País,negativo
"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",El País,positivo
Óscar López ve “muy grave” que se publiquen mensajes privados de Sánchez y pide investigar la filtración,El País,negativo
Los autónomos cambian de sector: del comercio y el transporte pasan a la educación y las comunicaciones,El País,positivo
"Detenido un hombre, sospechoso del asesinato de una mujer de 32 años en Madrid",El País,negativo
Los Bomberos no prevén extinguir este domingo aunque controlan el incendio de Vilanova,El País,negativo
Los Reyes en Mauthausen: las imágenes de la conmemoración del 80 aniversario de la liberación del campo nazi,El País,negativo
"El centelleante regreso de Sinner, a 4.180 revoluciones por minuto",El País,positivo
Un ratito con Travis Scott en Sant Adrià,El País,positivo
"Última hora de la guerra de Rusia y Ucrania, en directo | Zelenski insta a Rusia a aceptar el alto el fuego antes de confirmar las conversaciones directas",El País,negativo
La resurrección de Camps,El País,positivo
La guerra y la paz,El País,negativo
Camila Sosa Villada: “Yo muestro cómo es una travesti furiosa”,El País,positivo
"León, la última jugada de Francisco",El País,positivo
"Pedro Barreto, cardenal peruano: “En el cielo Francisco está gozando la elección de Prevost”",El País,positivo
Las flores colombianas coronan el Día de la Madre a pesar de la guerra arancelaria de Trump,El País,positivo
"Los corridos tumbados, en el ojo de una inédita tormenta política en México: “cooptados por el narco”, pero con la popularidad por los cielos",El País,negativo
Petro encuentra su bandera: la consulta popular sobre derechos laborales le devuelve oxígeno político para su último año de mandato,El País,positivo
Economía bipolar,El País,positivo
La crisis económica se erige en el gran árbitro de las elecciones en Bolivia,El País,negativo
Brasil devuelve el brillo al palacio que inauguró su arquitectura modernista,El País,positivo
La banca y el Gobierno de Sheinbaum tienden puentes para sortear al ‘huracán Trump’,El País,positivo
Una tormenta perfecta sobre Centroamérica ahoga los logros de la pacificación,El País,positivo
"Ramani Durvasula, psicóloga: “Trump y quienes nos gobiernan tienen personalidades narcisistas”",El País,negativo
Podcast | ¿Cómo influye el clima en el estado emocional?,El País,positivo
"Álvaro Campos, el escritor que mira a Chile desde el mostrador de un almacén: “Es la posición privilegiada para quien observa el barrio, los comentarios y la vida cotidiana”",El País,positivo
En este Oriente del Valle de México no sale el sol,El País,negativo
Los controles del bienestar de los menores migrantes no acompañados deja a un centenar de niños sin hogar,El País,negativo
Videoanálisis | Petro aumenta su control sobre la agenda pública,El País,negativo
"Lorena Kourousias, la psicóloga que busca sanar el trauma de la migración en madres latinas",El País,positivo
La ciencia involuciona en la Argentina de Milei: se desploma la inversión y disminuyen los investigadores,El País,negativo
¿Universidades politizadas o caricaturas de revolución?,El País,negativo
"Prevost en Chiclayo, el obispo gringo que hablaba poco pero hacía mucho",El País,positivo
49 candidatos para 49 cargos: las elecciones judiciales en las que no se podrá elegir nada,El País,negativo
Pantuflas bordadas,El País,positivo
“La esperanza de vida en Parla es de dos años menos que en Pozuelo. La desigualdad es palpable en Madrid”,El País,negativo
El apagón obliga a España a acelerar en almacenamiento tras años de retraso,El País,negativo
El apagón agita el gran avispero energético,El País,negativo
El tren pierde brillo entre incidencias y en plena explosión de la demanda,El País,negativo
Los aranceles que se autoimponen las economías europeas,El País,negativo
De los ‘merkelianos’ a la derecha: los cinco enemigos de Friedrich Merz,El País,negativo
La prisión de Alcatraz no escapa a las ocurrencias de Trump,El País,negativo
León XIV tendrá que ganarse a Roma antes de conquistar el mundo,El País,positivo
El pasado nazi del que los padres nunca quisieron hablar con sus hijos,El País,negativo
Lo simbólico importa,El País,positivo
¿Por qué Prevost?,El País,positivo
"Fiona Hill, exconsejera de Trump: “El presidente quiere ser un autócrata; se ve como un emperador”",El País,positivo
"‘Rob’ Prevost, el niño del extrarradio de Chicago que se convirtió en el primer papa estadounidense",El País,positivo
Viva la menopausia,El País,positivo
"Despertar la curiosidad por las abejas silvestres, un objetivo del Real Jardín Botánico de Madrid",El País,positivo
La importancia de educar en la convivencia,El País,positivo
León XIV en un mundo cada vez más laico,El País,positivo
"El auge del urbanismo feminista: “La perspectiva de género tiene que llegar a los sitios, al igual que la fibra óptica”",El País,positivo
Mauritania intercepta a 30.000 migrantes y desmantela 80 redes de tráfico en cuatro meses,El País,positivo
Alvise monta un partido a su medida tras perder dos de sus tres escaños en el Parlamento europeo,El País,positivo
El cultivo de cáñamo industrial desaparece en Cataluña por la inseguridad que rodea las plantaciones,El País,positivo
"Salarios, guardias y complementos: los incentivos de las comunidades para conquistar a los médicos que terminan la residencia",El País,positivo
‘Vicios ocultos’: los ricos que no saben serlo,El País,positivo
Chimamanda Ngozi Adichie como excusa para repensar la gestación por sustitución,El País,positivo
Narcos eruditos en química y que trabajan con mascarilla: el número de laboratorios de droga sintética se dispara,El País,negativo
Misión de Estado: ganar Eurovisión,El País,positivo
"Reducción de jornada: apoyo social, enemigos muy fuertes",El País,positivo
La teoría del “caos” tercermundista español que erosiona la democracia,El País,positivo
La crónica | Todo para el Parlamento pero sin el Parlamento,El País,positivo
Kash Patel’s disastrous testimony to Congress,MSNBC,negativo
Netflix’s radical retelling of this 1975 novel still rings true today,MSNBC,positivo
We were met with confrontation': N.J. Dems detail their visit to Newark ICE facility,MSNBC,negativo
"A white woman hurled the N-word at a child, and Trump fans blamed ‘wokeness’",MSNBC,negativo
"MAGA world helps raise over $600,000 after woman hurls racist slur at a child in Minnesota",MSNBC,negativo
"Mexico sues Google for following Trump’s ‘Gulf of America’ name change, Sheinbaum says",MSNBC,negativo
Pope Leo XIV speaks English. That’s bad news for JD Vance.,MSNBC,negativo
Why MAGA world is throwing a fit over the new pope,MSNBC,negativo
Trump’s Fox News problem is setting Jeanine Pirro up for failure,MSNBC,negativo
Trump's plan to implement mass firings meets a huge (but temporary) setback,MSNBC,negativo
Trump unlocks a new level of financial pain for student debtors,MSNBC,negativo
"Newark mayor’s arrest inflames tension between local officials, federal immigration agents",MSNBC,negativo
Kari Lake is carrying out one of Trump’s most nefarious plans,MSNBC,negativo
"Why did Trump fire Carla Hayden, the celebrated Librarian of Congress?",MSNBC,negativo
White House’s Stephen Miller: ‘We are actively looking at’ suspending habeas corpus,MSNBC,negativo
Trump welcomes white South Africans to the U.S. while other immigrants get the boot,MSNBC,negativo
Trump’s promise about funding for HBCUs fell apart within days,MSNBC,negativo
Trump's latest tone-deaf talking point asks kids to sacrifice in ways he never would,MSNBC,negativo
"After a hint of independence, the FBI’s Kash Patel falls back in line with Trump’s agenda",MSNBC,negativo
A Georgia college student's plight makes a mockery of Trump's immigration claims,MSNBC,positivo
"Without David Souter, the Federalist Society might’ve remained on the fringe",MSNBC,negativo
"After judge’s ruling, Tufts University student Rümeysa Öztürk is freed from ICE detention",MSNBC,positivo
Republicans fume over New York's plan to help defend Letitia James,MSNBC,positivo
Who wins in a war between India and Pakistan? Likely China,MSNBC,negativo
